business_name,telephone,email,category,website,street,locality,region,zipcode
Kolozsvary Andrew J,(313) 568-5406,,,https://www.dykema.com/professionals-andrew_kolozsvary.html,400 Renaissance Ctr,Detroit,MI,48243
"Wood, Douglas A, DO",(313) 262-6823,,Physicians & Surgeons,,3011 W Grand Blvd,Detroit,MI,48202
Horizon Transport Inc,(313) 262-7691,,Trucking-Motor Freight,,7991 Hartwick,Detroit,MI,48211
Nickovich John,(313) 928-0220,,"Laundry Equipment,Dry Cleaners & Laundries",,4204 Oakwood Blvd,Melvindale,MI,48122
The Scarab Club,(313) 831-1250,,"Art Galleries, Dealers & Consultants,Places Of Interest,Tourist Information & Attractions",http://www.scarabclub.org,217 Farnsworth St,Detroit,MI,48202
"Basant K. Sharma, MD",(313) 916-8641,,"Physicians & Surgeons,Physicians & Surgeons, Pulmonary Diseases,Physicians & Surgeons, Emergency Medicine",http://www.henryford.com,2799 W Grand Blvd,Detroit,MI,48202
Detroit Spirit Industrial Products Inc,(313) 873-1643,,Chemicals-Wholesale & Manufacturers,,5255 Tillman St,Detroit,MI,48208
Friars Kitchen & Bakery,(586) 573-6300,,"American Restaurants,Take Out Restaurants,Bakeries",http://friarskitchen.com/cgi-sys/suspendedpage.cgi,3855 E 12 Mile Rd,Warren,MI,48092
Tim Horton's,(313) 664-1409,,"Coffee & Espresso Restaurants,Restaurants,Breakfast, Brunch & Lunch Restaurants",http://www.timhortons.com,465 W Milwaukee St,Detroit,MI,48202
Tim Horton's,(313) 664-1409,,"Coffee & Espresso Restaurants,Restaurants,Breakfast, Brunch & Lunch Restaurants",http://www.timhortons.com,465 W Milwaukee St,Detroit,MI,48202
Enterprise Uniform Co,(313) 871-4667,,"Uniforms,Clothing Stores,Church Supplies & Services",,2862 E Grand Blvd,Detroit,MI,48202
Abramson Resources,(313) 462-4155,,,,2870 E Grand Blvd,Detroit,MI,48202
Abramson Resources,(313) 462-4155,,,,2870 E Grand Blvd,Detroit,MI,48202
Zt Grill,(313) 285-8116,,"Bar & Grills,Restaurants",,2894 W Grand Blvd,Detroit,MI,48202
Zt Grill,(313) 285-8116,,"Bar & Grills,Restaurants",,2894 W Grand Blvd,Detroit,MI,48202
Flaming Embers,(313) 962-3466,,Restaurants,,1570 Woodward Ave,Detroit,MI,48226
Clinical Research Services Inc,(313) 387-1150,,Research & Development Labs,,8924 Wormer,Redford,MI,48239
"3 J Group, Inc",(734) 522-9390,,,https://www.comfortkeepers.com,30120 Ford Rd,Garden City,MI,48135
"3 J Group, Inc",(734) 522-9390,,,https://www.comfortkeepers.com,30120 Ford Rd,Garden City,MI,48135
Gershonowicz Brothers,(855) 725-3628,,,https://rebuild.group,2921 E Grand Blvd,Detroit,MI,48202
New Center North Management Co,(313) 492-4949,,Management Consultants,,31 Hazelwood St,Detroit,MI,48202
New Center North Management Co,(313) 492-4949,,Management Consultants,,31 Hazelwood St,Detroit,MI,48202
"Hi-Tech Auto Collision, Inc.",(313) 491-2222,,Automobile Body Repairing & Painting,,10230 Livernois Ave,Detroit,MI,48204
JB Autotech,(734) 838-3963,,Auto Repair & Service,http://jbautotech.com,32235 Industrial Rd,Livonia,MI,48150
Rock Cf Foundation,(734) 671-8310,,Research Services,,2995 Bridge St,Trenton,MI,48183
Griswold Realty Advisors,(313) 784-9142,,,,2990 W Grand Blvd,Detroit,MI,48202
Detroit Future City Home Base,(313) 259-4407,info@detroitfuturecity.com,,https://detroitfuturecity.com,2990 W Grand Blvd,Detroit,MI,48202
Haste Freight Group,(313) 379-5200,,Trucking-Motor Freight,,2990 W Grand Blvd,Detroit,MI,48202
Haste Freight Group,(313) 379-5200,,Trucking-Motor Freight,,2990 W Grand Blvd,Detroit,MI,48202
Great Lakes Radio,(313) 871-1440,,Radio Stations & Broadcast Companies,,2994 E Grand Blvd,Detroit,MI,48202
Great Lakes Radio,(313) 871-1440,,Radio Stations & Broadcast Companies,,2994 E Grand Blvd,Detroit,MI,48202
Black Family Development,(313) 758-0157,,"Marriage, Family, Child & Individual Counselors,Social Service Organizations",http://www.blackfamilydevelopment.org,2995 E Grand Blvd,Detroit,MI,48202
"Matthews, O L, MD",(313) 382-0505,,,,7445 Allen Rd,Allen Park,MI,48101
City Living Detroit,(313) 242-7800,info@citylivingdetroit.com,Real Estate Agents,http://www.citylivingdetroit.com,3011 W Grand Blvd,Detroit,MI,48202
Elision Production and Recording Studio,(313) 207-7694,,"Audio-Visual Production Services,Recording Service-Sound & Video,Music Instruction-Vocal",,1190 Seward St,Detroit,MI,48202
"John A White Jr., DDS",(313) 921-4166,,Dentists,,7601 Mack Ave,Detroit,MI,48214
"Dr. Eric W Ayers, MD",(313) 745-4525,,"Physicians & Surgeons,Physicians & Surgeons, Pediatrics",http://wsupgdocs.org,50 E Canfield St,Detroit,MI,48201
V M X International,(313) 875-9459,info@vmxi.com,Environmental Engineers,http://www.vmxi.com,3011 W Grand Blvd Ste 2401,Detroit,MI,48202
Algis V Barauskas Dds,(313) 871-1044,,,,311 W Grand Blvd,Detroit,MI,48216
Third Baptist Church,(313) 874-4133,,"Baptist Churches,Churches & Places of Worship",,582 E Ferry St,Detroit,MI,48202
"Alo, Mohammed S, DO",(734) 282-2002,,"Physicians & Surgeons, Surgery-General,Physicians & Surgeons",,15450 Northline Rd,Southgate,MI,48195
Russell's Pharmacy,(313) 875-5384,username@example.com,Pharmacies,http://healthmart.com,3011 W Grand Blvd Ste 107,Detroit,MI,48202
Third Baptist Church,(313) 874-4133,,"Baptist Churches,Churches & Places of Worship",,582 E Ferry St,Detroit,MI,48202
Albert Kahn Associates,(313) 202-7000,,"Architects,General Contractors",,7430 2nd Ave,Detroit,MI,48202
Albert Kahn Associates,(313) 202-7000,,"Architects,General Contractors",,7430 2nd Ave,Detroit,MI,48202
Yamasaki Inc,(313) 462-4321,gospelagainstaids@gmail.com,AIDS Information & Services,http://www.gospelaa.org,3011 W Grand Blvd,Detroit,MI,48202
Allen Floyd E,(313) 871-5500,,Attorneys,http://www.alglawpc.com,3011 W Grand Blvd Ste 2500,Detroit,MI,48202
Butler Graphics,(313) 875-9670,butlergraphics@bgmedia.com,Graphic Designers,http://www.bgmedia.com,3011 W Grand Blvd Ste 2250,Detroit,MI,48202
"Smith, Joshua S, MD",(313) 416-6200,,Physicians & Surgeons,,4669 E 8 Mile Rd,Warren,MI,48091
Compliance Office Environmental,(313) 285-8401,,Environmental & Ecological Consultants,http://ecomain.com,3011 W Grand Blvd Ste 420,Detroit,MI,48202
motu management group inc,(313) 409-8374,,Management Consultants,,29777 Telegraph Rd Ste 2475,southfield,MI,48034
Brown Counseling,(313) 285-8097,info@browncounseling.com,,http://www.browncounseling.com,15 E Kirby St,Detroit,MI,48202
Bruce Donigan Dds,(313) 871-1100,office@drdonigan.com,,http://www.drdonigan.com,862 W Fisher Fwy,Detroit,MI,48201
Nco Group Inc,(313) 566-0573,,Collection Agencies,,2711 E Jefferson Ave,Detroit,MI,48207
Platform,(313) 446-8799,info@theplatform.city,Real Estate Agents,http://www.theplatform.city,7310 Woodward Ave,Detroit,MI,48202
Dr. Gabriel Williams DDS,(313) 873-7474,,"Dentists,Orthodontists",https://www.todaysdetroitdental.com,3011 W Grand Blvd,Detroit,MI,48202
United Way Community Service,(800) 552-1183,,Social Service Organizations,,6060 Woodward Ave,Detroit,MI,48202
Brodie D A Ph.D. Pc,(313) 871-1450,,,http://brogan.com,3011 W Grand Blvd,Detroit,MI,48202
The Fashions Place,(313) 874-5531,admin@newcenterplace.com,Women's Clothing,http://www.newcenterplace.com,3011 W Grand Blvd,Detroit,MI,48202
"Dr. Susan Reeder, MD",(313) 582-2769,,Physicians & Surgeons,,15101 Ford Rd,Dearborn,MI,48126
Russell's Pharmacy,(313) 875-5384,username@example.com,Pharmacies,http://healthmart.com,3011 W Grand Blvd Ste 107,Detroit,MI,48202
Detroit Central City Community Mental Health Inc,(313) 831-3160,,"Physicians & Surgeons, Psychiatry,Physicians & Surgeons,Mental Health Services",http://www.dcccmh.org,10 Peterboro St,Detroit,MI,48201
Butler Graphics,(313) 875-9670,butlergraphics@bgmedia.com,Graphic Designers,http://www.bgmedia.com,3011 W Grand Blvd Ste 2250,Detroit,MI,48202
"Smith, Joshua S, MD",(313) 416-6200,,Physicians & Surgeons,,4669 E 8 Mile Rd,Warren,MI,48091
"Dr. Eric W Ayers, MD",(313) 745-4525,,"Physicians & Surgeons,Physicians & Surgeons, Pediatrics",http://wsupgdocs.org,50 E Canfield St,Detroit,MI,48201
"Somat Engineering, Inc",(313) 963-2721,info@somateng.com,,http://www.somateng.com,3031 W Grand Blvd Suite 228,Detroit,MI,48202
A Inc,(248) 546-6053,,,,1258 Brown Rd,Auburn Hills,MI,48326
Accounting Aid Society,(313) 556-1920,info@accountingaidsociety.org,Accounting Services,http://accountingaidsociety.org,7700 2nd Ave,Detroit,MI,48202
Becharas Brothers Coffee Co,(313) 869-4700,,"Coffee & Tea,Coffee Roasting & Handling Equipment,Coffee & Tea-Wholesale & Manufacturers",http://www.becharas.com,14501 Hamilton Ave,Highland Park,MI,48203
A & A Deli,(313) 964-6500,,"Delicatessens,Restaurants",,3031 W Grand Blvd,Detroit,MI,48202
Solid Rock Management Co,(313) 873-7625,,"Management Consultants,Business Coaches & Consultants,Business Management",http://www.solidrock-management.com,3031 W Grand Blvd Ste 524,Detroit,MI,48202
New Center Council Inc,(313) 870-9211,,"Social Service Organizations,Community Organizations",http://newcenter.com,2990 W Grand Blvd,Detroit,MI,48202
"Thompson Sr, Anthony E",(313) 429-1185,,Social Workers,https://www.familytreenow.com,12625 W Outer Dr,Detroit,MI,48223
Urban Health Resource,(313) 664-0100,,Home Health Services,http://www.uhr-uho.org,3031 W Grand Blvd,Detroit,MI,48202
Central Care Management Organization,(313) 875-2092,,Professional Organizations,https://www.ccmo.org,3031 W Grand Blvd Ste 370,Detroit,MI,48202
"Stuart E. Kirschenbaum, DPM",(313) 894-5100,,"Physicians & Surgeons, Podiatrists",,3031 W Grand Blvd,Detroit,MI,48202
Esper Aiello Law Group,(313) 964-4900,,"Product Liability Law Attorneys,Attorneys",https://www.aiellolawgroup.com,3031 W Grand Blvd Ste 440,Detroit,MI,48202
Long Insurance Services,(313) 873-0300,tiles_homepage_apron-relief_280@2x.jpg,"Insurance,Auto Insurance",http://www.progressive.com,3031 W Grand Blvd Ste 529,Detroit,MI,48202
Michigan Roundtable For Diversity & Inclusion,(313) 870-1500,wixofday@wix.com,Community Organizations,https://www.miroundtable.org,3031 W Grand Blvd Ste 525,Detroit,MI,48202
Huffman Eric D Ins Agcy Inc,(313) 875-3172,,Insurance,http://statefarm.com,3031 W Grand Blvd,Detroit,MI,48202
Wayne County Medical Society,(313) 874-1360,,"Acoustical Contractors,General Contractors",,"3031 W. Grand Blvd., Suite 645",Detroit,MI,48202
Travelers' Aid,(313) 962-6740,,Social Service Organizations,https://www.travelersaid.org,3031 W Grand Blvd,Detroit,MI,48202
Detroit Wayne County Port Authority,(313) 259-5091,,Port Authorities,http://www.portdetroit.com,130 Atwater St,Detroit,MI,48226
Housing Fund - Detroit,(313) 444-9540,,Real Estate Developers,,12300 Gratiot Ave,Detroit,MI,48205
Here's The Scoop,(313) 292-9728,,Ice Cream & Frozen Desserts,,8814 Pelham Rd,Taylor,MI,48180
Weldon Enterprise Global IT,(313) 687-4990,info@weglobalit.com,Computer Software & Services,http://weglobalit.com,3031 W Grand Blvd Ste 695,Detroit,MI,48202
New Detroit Inc,(313) 664-2000,,,https://www.newdetroit.org,3031 W Grand Blvd,Detroit,MI,48202
Travelers' Aid,(313) 962-6740,,Social Service Organizations,https://www.travelersaid.org,3031 W Grand Blvd,Detroit,MI,48202
Detroit- Windsor Dance Academy,(313) 872-7200,,"Dancing Instruction,Dance Companies,Dance Halls",,3031 W Grand Blvd Ste 350,Detroit,MI,48202
Coup Inc,(248) 495-0283,,,http://coupinc.com,4070 3 Oaks Dr,Troy,MI,48098
Oakland Avenue Missionary Baptist Church,(313) 875-3880,,"Baptist Churches,Churches & Places of Worship",https://www.facebook.com/pages/oakland-avenue-missionary-baptist-church/121062037903893,309 Harper Ave,Detroit,MI,48202
Chris & Sammie Carwash,(313) 861-1549,,Car Wash,,20525 Ward St,Detroit,MI,48235
Metropolitan Detroit Area Hospital Services Inc,(313) 834-4330,,Information Bureaus & Services,,4645 Oakman Blvd,Detroit,MI,48204
King Cole Foods,(313) 872-0220,,Grocery Stores,http://kingcolefoods.com,40 Clairmount St,Detroit,MI,48202
General Linen & Uniform Service Co.,(313) 244-0748,info@general-linen.com,"Linen Supply Service,Linens,Uniform Supply Service",http://www.general-linen.com,411 Piquette St,Detroit,MI,48202
General Linen & Uniform Service Co.,(313) 244-0748,info@general-linen.com,"Linen Supply Service,Linens,Uniform Supply Service",http://www.general-linen.com,411 Piquette St,Detroit,MI,48202
Z's Villa,(313) 874-2680,sofianni_liana@yahoo.com,"American Restaurants,Bars,Night Clubs",http://www.zsvilladet.com,42 Piquette St,Detroit,MI,48202
Wealthy Leaf Inc,(313) 338-3098,,,,2870 E Grand Blvd,Detroit,MI,48202
Peel Property Management,(313) 230-0399,,"Property Maintenance,Housing Consultants & Referral Service,Rental Vacancy Listing Service",,5090 Audubon Rd,detroit,MI,48224
Bio-Magnetic Resonance Inc,(586) 445-4900,,"MRI (Magnetic Resonance Imaging),Medical Imaging Services",http://biomagmri.com,25100 Kelly Rd,Roseville,MI,48066
Kumon Math and Reading Center,(313) 873-7730,CV-Badge-Kumon-Home-Desktop@1x.png,"Tutoring,Educational Services,Educational Consultants",http://www.kumon.com,49 Virginia Park St,Detroit,MI,48202
Transportation Riders United,(313) 963-8872,info@DetroitTransit.org,Community Organizations,http://www.detroittransit.org,500 Griswold St Ste 1650,Detroit,MI,48226
Wayne State University,(313) 577-5134,MUG@LISTS.SDUSERS,"Library Research & Service,Libraries",http://muglibraries.org,5150 Anthony Wayne Dr # 3100,Detroit,MI,48202
Silver Lights Studio,(313) 556-4821,silverlightsphoto@gmail.com,"Photography & Videography,Portrait Photographers",http://www.silverlightsphoto.com,5127 Allen Rd,Allen Park,MI,48101
Kumon Math and Reading Center,(313) 873-7730,CV-Badge-Kumon-Home-Desktop@1x.png,"Tutoring,Educational Services,Educational Consultants",http://www.kumon.com,49 Virginia Park St,Detroit,MI,48202
Wayne State University,(313) 577-5134,MUG@LISTS.SDUSERS,"Library Research & Service,Libraries",http://muglibraries.org,5150 Anthony Wayne Dr # 3100,Detroit,MI,48202
Lake Star Construction Services Inc,(248) 636-7480,,Construction Consultants,,17800 Northland Park Ct Ste 108,Southfield,MI,48075
Bright Horizons Family Solutions,(313) 871-2100,,"Educational Services,Child Care,Preschools & Kindergarten",http://www.brighthorizons.com,1110 Seward St,Detroit,MI,48202
Cws Securities,(313) 551-4864,,,,70 Gale Blvd,Melvindale,MI,48122
Elm Analytics,(248) 660-9356,info@elmanalytics.com,Data Communications Equipment & Systems,http://www.elmanalytics.com,280 Mill St Ste A,Rochester,MI,48307
Hatch Detroit,(313) 465-7640,Info@HatchDetroit.com,Business & Trade Organizations,http://hatchdetroit.com,645 Griswold St,Detroit,MI,48226
Featherstone Moments,(313) 465-5618,,"Telemarketing Services,Marketing Programs & Services,Marketing Consultants",,4263 Cass Ave,Detroit,MI,48201
Shebley Group,(312) 945-8811,IMG_4520_370x230@2x.JPG,Custom Made Men's Suits,https://shopqbyqs.com,6001 Cass Ave # 124,Detroit,MI,48202
Community Development Advocates Of Detroit,(313) 964-4910,jennifer@marijuanapropagation.com,Community Organizations,https://www.marijuanapropagation.com/store/p2/cannabis-cultivation-operating-plan-sop.html,2727 2nd Ave Ste 303,Detroit,MI,48201
Metropolitan Elks Lodge 962,(313) 868-7829,,Clubs,,50 Manchester Pkwy,Highland Park,MI,48203
Detroit Experience Factory,(313) 962-4590,HELLO@DETROITEXPERIENCEFACTORY.ORG,Tourist Information & Attractions,http://www.detroitexperiencefactory.org,440 Burroughs St,Detroit,MI,48202
Data Ic,(313) 887-1297,info@icdatacom.com,Data Communications Equipment & Systems,http://www.icdatacom.com,440 Burroughs St,Detroit,MI,48202
Bio-Magnetic Resonance Inc,(586) 445-4900,,"MRI (Magnetic Resonance Imaging),Medical Imaging Services",http://biomagmri.com,25100 Kelly Rd,Roseville,MI,48066
American Institute Architechts,(313) 965-4100,aiami@aiami.com,"Architects,Architectural Engineers,Building Construction Consultants",http://aiami.com,4219 Woodward Ave,Detroit,MI,48201
Healthy Ways Nutrition Counseling,(248) 855-4558,,"Physicians & Surgeons, Nutrition",http://www.gailposner.com,6960 Orchard Lake Rd Ste 310,West Bloomfield,MI,48322
